TAI;TEI;LAD;TIO;QIS;QIO;OTI;TEO;ICC1;ICC2;ICC3
G;G;A;G;M;3;0;G;7 16 25 34;43 52 61 70;44 89 98 107
G;G;A;G;M;3;0;G;16 25 34 7;88 97 106 79;53 80 98 107
G;G;A;G;M;3;0;G;25 34 7 16;133 142 115 124;62 80 89 107
G;G;A;G;M;3;0;G;34 7 16 25;70 43 52 61;71 80 89 98
G;G;A;G;M;3;0;G;1 10 19 28;73 82 91 100;80 125 134 143
G;G;A;G;M;3;0;G;10 19 28 1;118 127 136 109;89 116 134 143
G;G;A;G;M;3;0;G;19 28 1 10;55 64 37 46;98 116 125 143
G;G;A;G;M;3;0;G;28 1 10 19;100 73 82 91;107 116 125 134
G;G;A;G;M;3;0;G;8 17 26 35;116 125 134 143;116 53 62 71
G;G;A;G;M;3;0;G;17 26 35 8;53 62 71 44;125 44 62 71
G;G;A;G;M;3;0;G;26 35 8 17;98 107 80 89;134 44 53 71
G;G;A;G;M;3;0;G;35 8 17 26;143 116 125 134;143 44 53 62
G;G;A;G;M;3;0;G;2 11 20 29;38 47 56 65;8 53 62 71
G;G;A;G;M;3;0;G;11 20 29 2;83 92 101 74;17 44 62 71
G;G;A;G;M;3;0;G;20 29 2 11;128 137 110 119;26 44 53 71
G;G;A;G;M;3;0;G;29 2 11 20;65 38 47 56;35 44 53 62
G;G;A;G;M;3;0;G;9 18 27 36;81 90 99 108;8 53 98 143
G;G;A;G;M;3;0;G;18 27 36 9;126 135 144 117;53 8 98 143
G;G;A;G;M;3;0;G;27 36 9 18;63 72 45 54;98 8 53 143
G;G;A;G;M;3;0;G;36 9 18 27;108 81 90 99;143 8 53 98 
G;G;A;G;M;3;0;G;3 12 21 30;111 120 129 138;8 44 80 116
G;G;A;G;M;3;0;G;12 21 30 3;48 57 66 39;53 17 26 35
G;G;A;G;M;3;0;G;21 30 3 12;93 102 75 84;98 26 62 134
G;G;A;G;M;3;0;G;30 3 12 21;138 111 120 129;143 35 71 107
M;G;A;G;G;4;0;G;7 16 25 34 8 9;43 52 61 70 44 45;45 90 99 108 9 18
M;G;A;G;G;4;0;G;16 25 34 7 17 18;88 97 106 79 89 90;54 81 99 108 18 27
M;G;A;G;G;4;0;G;25 34 7 16 26 27;133 142 115 124 134 135;63 81 90 108 27 36
M;G;A;G;G;4;0;G;34 7 16 25 35 36;70 43 52 61 71 72;72 81 90 99 36 9
M;G;A;G;G;4;0;G;4 13 22 31 5 6;76 85 94 103 77 78;81 126 135 144 45 90
M;G;A;G;G;4;0;G;13 22 31 4 14 15;121 130 139 112 122 123;90 117 135 144 54 99
M;G;A;G;G;4;0;G;22 31 4 13 23 24;58 67 40 49 59 60;99 117 126 144 63 108
M;G;A;G;G;4;0;G;31 1 10 19 32 33;103 76 85 94 104 105;108 117 126 135 72 81
M;G;A;G;G;4;0;G;1 10 19 28 2 3;109 118 127 136 110 111;117 54 63 72 81 126
M;G;A;G;G;4;0;G;10 19 28 1 11 12;46 55 64 37 47 48;126 45 63 72 90 135
M;G;A;G;G;4;0;G;19 28 1 10 20 21;91 100 73 82 92 93;135 45 54 72 99 144
M;G;A;G;G;4;0;G;28 1 10 19 29 30;136 109 118 127 137 138;144 45 54 63 108 117
M;G;A;G;G;4;0;G;8 17 26 35 7 9;44 53 62 71 43 45;9 54 63 72 81 18
M;G;A;G;G;4;0;G;17 26 35 8 16 18;89 98 107 80 88 90;18 45 63 72 90 27
M;G;A;G;G;4;0;G;26 35 8 17 25 27;134 143 116 125 133 135;27 45 54 72 99 36
